seed,num_atoms,c0_formula,ft0_formula,tcl_formula,tcl_exact_composition_as_c0,ft0_exact_composition_as_c0,tcl_c0_composition_fraction_l1,ft0_c0_composition_fraction_l1,tcl_c0_element_set_jaccard,ft0_c0_element_set_jaccard,tcl_severe,c0_severe
83224,16,Fe4Mg3O9,C4Mn10N2,Eu11PrPt4,False,False,2.0,2.0,0.0,0.0,False,True
83225,4,Fe2Pt2,BeEu2Pt,Eu2InPr,False,False,2.0,1.5,0.0,0.25,False,False
83226,10,Al2Gd2O6,C4Mn6,Gd4Hg4In2,False,False,1.5999999999999999,2.0,0.2,0.0,False,False
83227,11,Eu5O6,As4Mn7,Ca2Eu6F2O,False,False,0.909090909090909,2.0,0.5,0.0,False,False
83228,3,MnO2,Au2Eu,Eu2Y,False,False,2.0,2.0,0.0,0.0,False,False
83229,8,Eu4Si4,C4Mn3Sc,Eu4Pt4,False,False,1.0,2.0,0.3333333333333333,0.0,False,False
83230,5,CaEu3Rh,HMn3P,Co3Y2,False,False,2.0,1.9999999999999998,0.0,0.0,False,False
83231,10,EuFe2O6W,C3Mn7,C2Mn8,False,False,2.0,2.0,0.0,0.0,False,False
83232,4,HEu3,Mn3Sb,H2Eu2,False,False,0.5,2.0,1.0,0.0,False,False
83233,10,Eu4O6,HMn9,HAs2Fe7,False,False,2.0,2.0,0.0,0.0,True,False
83234,10,Eu2Na3O5,BrClEu4Mn4,Eu5P5,False,False,1.6,1.6,0.25,0.16666666666666666,False,False
83235,8,FeMn2O4Zn,CMn7,Mn7Ni,False,False,1.5,1.5,0.2,0.2,False,False
83236,4,Al2EuLi,Eu3Pt,CaEu3,False,False,1.5,1.5,0.25,0.25,False,False
83237,9,CaEu4O4,As2Mn7,As3Eu5I,False,False,1.1111111111111112,2.0,0.2,0.0,False,False
83238,13,DyMn3O8Tl,C4LiMn8,Fe2Mn11,False,False,1.5384615384615383,1.5384615384615385,0.2,0.16666666666666666,False,True
83239,8,Co2Fe5Ni,C2GaMn5,Fe3Ge2Mn3,False,False,1.25,2.0,0.2,0.0,False,False
83240,6,CoFe2Mn3,AuMn5,AuEu5,False,False,2.0,1.0,0.0,0.25,False,False
83241,10,Co4Eu2N4,C2As2Mn6,C2Fe8,False,False,2.0,2.0,0.0,0.0,False,True
83242,6,Cl4EuSr,FeMn5,Cl4Eu2,False,False,0.3333333333333333,2.0,0.6666666666666666,0.0,False,False
83243,20,Mn8O12,C8Mn12,Mn15Ni5,False,False,1.2,1.2,0.3333333333333333,0.3333333333333333,False,False
83244,6,Eu2Fe2Mn2,Au4Mn2,C2Ca2Eu2,False,False,1.3333333333333333,1.3333333333333333,0.2,0.25,False,False
83245,14,Fe3Li5O6,C4Mn10,C4Mn10,False,False,2.0,2.0,0.0,0.0,False,False
83246,9,Cl3Eu4Ge2,CAs3Mn5,HFe2Mn6,False,False,2.0,2.0,0.0,0.0,False,False
83247,10,Eu3O6Si,C2Mn8,Cd2Cu4Eu4,False,False,1.4,2.0,0.2,0.0,False,True
83248,10,Mn4O6,As3Mn7,IrMn5Pt4,False,False,1.2,1.1999999999999997,0.25,0.3333333333333333,False,False
83249,18,CoF12Fe5,C6Mn12,C6Mn12,False,False,2.0,2.0,0.0,0.0,True,False
83250,9,Eu3Zn6,C3Mn6,Eu3Ge4Zn2,False,False,0.8888888888888888,1.9999999999999998,0.6666666666666666,0.0,False,False
83251,15,Fe2Li2Mn4O7,C3Mn12,Fe4Mn11,False,False,1.2,1.4666666666666668,0.5,0.2,False,False
83252,12,Fe9HoNi2,C4Mn8,Fe10Ge2,False,False,0.5,1.9999999999999998,0.25,0.0,False,False
83253,16,H2Co4Fe8Ni2,C6FeMn9,Eu6Fe4N6,False,False,1.5,1.875,0.16666666666666666,0.16666666666666666,False,False
83254,20,HEu2Fe6O11,C8Mn12,Fe3Mn17,False,False,1.7,2.0,0.2,0.0,False,True
83255,9,Eu6Si3,As3Mn6,Eu3P3Rh3,False,False,1.3333333333333333,2.0,0.25,0.0,False,False
